,index,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname,initial_team,picked,captain
482,482,Leander Dendoncker,40,Aston Villa,20,49,0.38461538461538464,118,MID,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,1.3111111111111111,0.11494252873563218,28,0.22884427881419386,Tottenham,Dendoncker,0.0,0.0,0
483,483,Leandro Trossard,26,Arsenal,84,65,3.8,903,MID,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,10.033333333333333,0.4827586206896552,28,0.6052036901628268,Brentford,Trossard,0.0,0.0,0
484,484,Leigh Kavanagh,753,Brighton,0,40,0.0,0,DEF,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,0.0,0.0,28,0.32041514276432215,Nottingham,Kavanagh,0.0,0.0,0
485,485,Leo Castledine,758,Chelsea,0,45,0.0,0,MID,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,0.0,0.0,28,0.20298085768265697,Newcastle,Castledine,0.0,0.0,0
486,486,Leon Bailey,34,Aston Villa,99,56,5.107692307692308,1239,MID,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,13.766666666666667,0.5689655172413793,28,0.5012580719176422,Tottenham,Bailey,0.0,0.0,0
487,487,Lesley Ugochukwu,613,Chelsea,11,44,0.25,269,MID,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,2.988888888888889,0.06321839080459771,28,0.2409118921654156,Newcastle,Ugochukwu,0.0,0.0,0
488,488,Levi Colwill,197,Chelsea,65,47,2.5846153846153848,1794,DEF,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,True,0,0.0,0.0,0,0.0,0,0.5074521442066424,0.0,0.5074521442066424,19.933333333333334,0.3735632183908046,28,0.45389657388030724,Newcastle,Colwill,0.0,0.0,0
489,489,Lewis Cook,66,Bournemouth,50,50,2.948,1621,MID,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,True,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,True,0.7016279530212189,0.6144077808973069,0.8849500602872389,18.011111111111113,0.28735632183908044,28,0.5263938172183439,Sheffield Utd,Cook,0.0,0.0,0
490,490,Lewis Dobbin,624,Everton,16,45,0.5307692307692308,176,MID,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,False,0,0.0,0.0,0,0.0,0,0.22663733715330828,0.0,0.22663733715330828,1.9555555555555555,0.09195402298850575,28,0.14582734865442676,Manchester Utd,Dobbin,0.0,0.0,0
491,491,Lewis Dunk,129,Brighton,50,51,3.75,1924,DEF,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,21.377777777777776,0.28735632183908044,28,0.4353576714999543,Nottingham,Dunk,0.0,0.0,0
